Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
1993,8,16.6,6,21.5,-0.5
1993,9,16.4,7.9,23.9,2.6
1993,10,18.2,7.9,25.8,2.9
1993,11,20,9.3,31.4,2.3
1993,12,22.1,11.7,32.7,4.3
1994,1,24.3,11.3,41.4,6
1994,2,24.5,14.4,31.7,9.5
1994,3,21.9,11.3,29.4,5.5
1994,4,20.4,9.7,29,2.4
1994,5,17.1,8.1,23,0.5
1994,6,14.5,5.7,18.5,-1.3
1994,7,15.4,4.7,21.5,-3.1
1994,8,14.5,3.9,23,-0.9
1994,9,15.7,5.5,22.6,-0.4
1994,10,19.9,8.3,33,2.2
1994,11,20.7,10.1,34.6,3.6
1994,12,26.1,13.6,38.8,6.2
1995,1,25.5,15.3,36.5,8.5
1995,2,25.7,14.4,39.7,8.5
1995,3,22,11.9,35.2,6.3
1995,4,17.5,8,24,3
1995,5,15.8,8.2,23.5,2.8
1995,6,13.3,6.6,19.1,-0.6
1995,7,12.5,5.5,15.6,2.7
1995,8,16.2,5.5,23.5,1
1995,9,15.9,5.2,21.5,0.8
1995,10,18.1,7.9,33.1,1
1995,11,20.7,10,30.5,4.8
1995,12,19.7,10,31,3.7
1996,1,24.2,13.7,38.1,7
1996,2,23.2,12.3,34.4,7.6
1996,3,23.2,10.9,32,5
1996,4,17.9,8.6,27,3.1
1996,5,16.2,7.7,23,1.8
1996,6,14.5,5.2,18,-1.2
1996,7,13,4.9,16.2,-1.7
1996,8,14.5,6.2,18.4,1.4
1996,9,16.4,6.9,25.4,1.4
1996,10,19.3,9.2,30.3,2.5
1996,11,20.8,9.3,32,4
1996,12,21.3,9.7,35,4.5
1997,1,26.7,15.1,42,7.7
1997,2,28.6,16.8,39.9,10.2
1997,3,22.5,11.5,31.8,6.4
1997,4,20.8,9.2,30.6,3
1997,5,16.1,8.5,23.9,1.5
1997,6,14.5,6.2,19.8,-0.6
1997,7,13,3.5,18.6,-2.2
1997,8,14.4,4.6,20,-3.2
1997,9,15.8,6.4,19.4,0.8
1997,10,19.4,8.2,34,1
1997,11,21.6,10.2,40.3,4.1
1997,12,23.6,12.1,33.3,7.2
1998,1,26,14.7,41.6,9
1998,2,26.1,12.6,41.7,8
1998,3,24,11.9,40,7
1998,4,18.4,9.3,30.6,4.2
1998,5,16.2,7.7,22.5,1.2
1998,6,13.7,5.7,20.7,-1.7
1998,7,12.6,3.9,15.5,-1.3
1998,8,14.9,5.4,20.6,-0.2
1998,9,18.4,7.6,28.8,-0.3
1998,10,18.6,7.5,33,1.9
1998,11,20.3,9.1,30.2,1.5
1998,12,23.9,12.6,41.4,7.6
1999,1,25.6,15.5,37.5,11.9
1999,2,26.8,15.1,36.3,8.6
1999,3,22.5,12.7,31,6.8
1999,4,18.7,7.4,26.1,0.4
1999,5,18.1,8.5,24.2,0.3
1999,6,14.6,5.7,18.5,-0.5
1999,7,14.8,6.1,17.8,-0.2
1999,8,15.4,7.1,24,2.4
1999,9,17.9,7.5,27,0
1999,10,20.3,9.1,27,4
1999,11,21.6,9.1,34,4
1999,12,23.6,12.8,37,7
2000,1,24.3,13.5,36,6
2000,2,29,16.2,41,9
2000,3,25.2,14,37,8
2000,4,21,10.5,27,4
2000,5,16.2,7.9,20,2
2000,6,14.2,6,17,0
2000,7,13.8,4.7,17,-1
2000,8,15,4.4,21,-1
